station,datetime,obs_type,obs_value,TMAX_F,datetime_dt,year
SZ000006717,18640226,TMAX,-34.0,-29.200000000000003,1864-02-26,1864
SZ000006717,18640208,TMAX,-17.4,0.6800000000000033,1864-02-08,1864
CA006158350,18640217,TMAX,-16.7,1.9400000000000013,1864-02-17,1864
SZ000006717,18640103,TMAX,-16.5,2.3000000000000007,1864-01-03,1864
CA006158350,18640102,TMAX,-16.1,3.019999999999996,1864-01-02,1864
SZ000006717,18640210,TMAX,-15.9,3.379999999999999,1864-02-10,1864
EZE00100082,18640114,TMAX,-15.1,4.82,1864-01-14,1864
SZ000006717,18640209,TMAX,-15.0,5.0,1864-02-09,1864
SZ000006717,18640219,TMAX,-14.7,5.539999999999999,1864-02-19,1864
SZ000006717,18640205,TMAX,-14.4,6.079999999999998,1864-02-05,1864
SZ000006717,18640220,TMAX,-14.2,6.440000000000001,1864-02-20,1864
EZE00100082,18640116,TMAX,-14.2,6.440000000000001,1864-01-16,1864
CA006158350,18640218,TMAX,-13.9,6.98,1864-02-18,1864
SZ000006717,18640207,TMAX,-13.8,7.159999999999997,1864-02-07,1864
EZE00100082,18640113,TMAX,-13.8,7.159999999999997,1864-01-13,1864
SZ000006717,18640218,TMAX,-13.3,8.059999999999999,1864-02-18,1864
GM000004204,18640105,TMAX,-12.5,9.5,1864-01-05,1864
EZE00100082,18640117,TMAX,-12.2,10.04,1864-01-17,1864
EZE00100082,18640119,TMAX,-12.2,10.04,1864-01-19,1864
GM000004204,18640104,TMAX,-12.1,10.219999999999999,1864-01-04,1864
SZ000006717,18641223,TMAX,-11.8,10.759999999999998,1864-12-23,1864
CA006158350,18641222,TMAX,-11.7,10.940000000000001,1864-12-22,1864
SZ000006717,18640118,TMAX,-11.6,11.120000000000001,1864-01-18,1864
SZ000006717,18640211,TMAX,-11.6,11.120000000000001,1864-02-11,1864
GME00125218,18640104,TMAX,-11.5,11.3,1864-01-04,1864
SZ000006717,18640330,TMAX,-11.3,11.659999999999997,1864-03-30,1864
EZE00100082,18641226,TMAX,-11.2,11.84,1864-12-26,1864
SZ000006717,18640105,TMAX,-11.1,12.02,1864-01-05,1864
EZE00100082,18641224,TMAX,-11.0,12.2,1864-12-24,1864
SZ000006717,18640102,TMAX,-10.7,12.740000000000002,1864-01-02,1864
CA006158350,18640103,TMAX,-10.6,12.920000000000002,1864-01-03,1864
GME00125218,18640116,TMAX,-10.6,12.920000000000002,1864-01-16,1864
GME00125218,18640114,TMAX,-10.5,13.099999999999998,1864-01-14,1864
